round,player_id,first_equip_tick,match_number
7,65285,37233,7
7,65287,33460,7
7,65288,37081,7
8,65282,43203,7
8,65285,38485,7
8,65288,40205,7
9,65284,43598,7
9,65287,48224,7
10,65285,49104,7
10,65287,49508,7
10,65289,54746,7
11,65282,58894,7
12,65281,66832,7
12,65283,65111,7
12,65288,68418,7
15,65283,79771,7
16,65284,86247,7
17,65284,90898,7
18,65283,96797,7
18,65284,96187,7
19,65284,101861,7
19,65289,105059,7
20,65284,107253,7
20,65285,109037,7
20,65288,110976,7
21,65288,115547,7
5,65282,30573,8
5,65283,27428,8
5,65284,27603,8
5,65286,28000,8
6,65282,38207,8
6,65283,33311,8
6,65284,32862,8
7,65283,45411,8
7,65284,45046,8
7,65285,50198,8
7,65286,45436,8
7,65289,49308,8
8,65280,51468,8
8,65282,51570,8
8,65283,51592,8
8,65285,51411,8
8,65286,53201,8
9,65280,56891,8
9,65282,58179,8
9,65283,57002,8
10,65280,66835,8
10,65282,67080,8
10,65283,66249,8
11,65280,75154,8
11,65282,74403,8
11,65283,75718,8
11,65285,78834,8
11,65286,74753,8
11,65289,77173,8
12,65280,81877,8
12,65282,82867,8
12,65283,81966,8
12,65284,83264,8
12,65286,81961,8
12,65289,83318,8
15,65286,94897,8
3,65281,11423,9
4,65286,15872,9
5,65280,21911,9
5,65281,22188,9
6,65281,29202,9
6,65286,32097,9
7,65281,32705,9
7,65286,32449,9
8,65280,36743,9
8,65281,36733,9
8,65283,36783,9
8,65286,37412,9
8,65289,36600,9
9,65281,40570,9
9,65282,40497,9
9,65289,41051,9
10,65280,44591,9
10,65281,44584,9
10,65282,44619,9
10,65288,47772,9
10,65289,45746,9
11,65281,48902,9
11,65286,48682,9
11,65289,49023,9
12,65280,53847,9
12,65281,53754,9
12,65286,53536,9
12,65289,54983,9
6,65283,29382,10
9,65285,51093,10
10,65285,56022,10
11,65285,64007,10
4,65282,21077,11
5,65282,24922,11
6,65282,27003,11
6,65289,31578,11
7,65282,32262,11
7,65283,32021,11
7,65284,38321,11
7,65289,31908,11
8,65283,39642,11
8,65284,38849,11
8,65286,38575,11
9,65283,45036,11
10,65281,51142,11
10,65283,47842,11
10,65284,48992,11
10,65286,49392,11
10,65288,47925,11
11,65282,55928,11
11,65283,55866,11
11,65284,55672,11
12,65280,62860,11
12,65281,60710,11
12,65282,60276,11
12,65283,61589,11
12,65284,60292,11
12,65288,60694,11
12,65289,60468,11
16,65282,76519,11
16,65283,76372,11
16,65284,76070,11
17,65282,81245,11
17,65284,84123,11
17,65287,84792,11
17,65289,81054,11
18,65281,86455,11
18,65282,86706,11
18,65283,87605,11
18,65284,89532,11
18,65288,86401,11
18,65289,86431,11
3,65287,10822,12
4,65287,14583,12
5,65285,20568,12
5,65288,22109,12
5,65289,20640,12
6,65285,26974,12
6,65288,27370,12
6,65289,26661,12
7,65284,34687,12
7,65285,32887,12
7,65288,32811,12
8,65284,42138,12
8,65285,38497,12
8,65288,39729,12
9,65284,43363,12
9,65287,42773,12
9,65288,45846,12
10,65281,47786,12
11,65281,56085,12
12,65280,61035,12
12,65281,60684,12
12,65284,63368,12
17,65288,88130,12
17,65289,85007,12
19,65285,99081,12
19,65288,97630,12
21,65284,105528,12
4,65280,22448,13
4,65287,16044,13
4,65289,16043,13
5,65280,23440,13
5,65289,23524,13
6,65287,29401,13
6,65288,28176,13
6,65289,28565,13
7,65289,34333,13
8,65289,39047,13
9,65280,43562,13
9,65289,44211,13
10,65280,53204,13
10,65283,50487,13
10,65286,48989,13
10,65289,50092,13
11,65280,53500,13
11,65283,53526,13
11,65286,54097,13
11,65289,53726,13
12,65280,58757,13
12,65288,62325,13
12,65289,58658,13
22,65289,111896,13
3,65286,12358,14
4,65286,17518,14
6,65282,32283,14
8,65282,54311,14
8,65284,47343,14
8,65286,54894,14
9,65283,61021,14
9,65286,55653,14
10,65282,62842,14
11,65282,69890,14
11,65288,72473,14
12,65281,76879,14
12,65282,73273,14
12,65288,74667,14
15,65282,92505,14
15,65283,98199,14
20,65285,124797,14
2,65280,5447,15
2,65281,9512,15
2,65288,8855,15
3,65281,9803,15
4,65280,18519,15
4,65281,17617,15
4,65283,17649,15
4,65288,25835,15
5,65280,26396,15
5,65288,26888,15
6,65280,31258,15
7,65280,37600,15
7,65281,36377,15
8,65280,44440,15
8,65282,50726,15
8,65283,46159,15
8,65284,44047,15
8,65289,43947,15
9,65280,51256,15
9,65283,51162,15
10,65280,58355,15
12,65285,74172,15
17,65281,101280,15
5,65280,26780,16
5,65283,24571,16
5,65286,24642,16
6,65280,30394,16
12,65289,68464,16
16,65280,101687,16
16,65286,97626,16
17,65280,104078,16
17,65289,104866,16
18,65289,109174,16
19,65289,116557,16
20,65286,122660,16
20,65289,122422,16
21,65280,127889,16
21,65281,128377,16
21,65286,132269,16
21,65288,131527,16
22,65283,137241,16
