round,player_id,team_label,money,current_equipment_cost,match_number
14,65280,T,3850,200,1
14,65281,T,4650,200,1
14,65282,T,3750,200,1
14,65283,T,4650,200,1
14,65284,T,4050,200,1
14,65285,CT,2350,200,1
14,65286,CT,2400,200,1
14,65287,CT,2050,200,1
14,65289,CT,2050,200,1
15,65280,T,1900,200,1
15,65281,T,2150,200,1
15,65282,T,1450,200,1
15,65283,T,5050,200,1
15,65284,T,1750,200,1
15,65285,CT,5600,1900,1
15,65286,CT,3300,200,1
15,65287,CT,4800,4400,1
15,65289,CT,3250,2250,1
16,65280,T,1900,200,1
16,65281,T,2650,200,1
16,65282,T,2650,200,1
16,65283,T,2950,200,1
16,65284,T,3650,200,1
16,65285,CT,7550,2900,1
16,65286,CT,4100,200,1
16,65287,CT,7850,5100,1
16,65289,CT,6500,200,1
17,65280,T,3000,200,1
17,65281,T,3350,200,1
17,65282,T,5050,200,1
17,65283,T,4650,200,1
17,65284,T,3250,200,1
17,65285,CT,10500,3300,1
17,65286,CT,4850,3300,1
17,65287,CT,10000,4800,1
17,65289,CT,6700,200,1
18,65280,T,4100,200,1
18,65281,T,4550,200,1
18,65282,T,4500,200,1
18,65283,T,3550,200,1
18,65284,T,6150,200,1
18,65285,CT,11850,4700,1
18,65286,CT,6900,3900,1
18,65287,CT,12750,5300,1
18,65289,CT,5950,200,1
19,65280,T,4450,200,1
19,65281,T,4250,200,1
19,65283,T,4050,200,1
19,65284,T,5850,200,1
19,65285,CT,13000,5700,1
19,65286,CT,8350,200,1
19,65287,CT,15700,200,1
19,65289,CT,5200,200,1
20,65280,T,4150,200,1
20,65281,T,3950,200,1
20,65283,T,3450,200,1
20,65284,T,5850,200,1
20,65285,CT,15450,5500,1
20,65286,CT,5850,200,1
20,65287,CT,12850,200,1
20,65289,CT,7450,200,1
21,65280,T,7550,200,1
21,65281,T,3650,200,1
21,65283,T,4800,200,1
21,65284,T,6150,200,1
21,65285,CT,16000,200,1
21,65286,CT,3850,5350,1
21,65287,CT,11000,4600,1
21,65289,CT,6700,200,1
22,65280,T,6750,200,1
22,65281,T,4450,200,1
22,65283,T,4500,3900,1
22,65284,T,6250,200,1
22,65285,CT,13700,200,1
22,65286,CT,3050,200,1
22,65287,CT,11300,200,1
22,65289,CT,3800,200,1
23,65280,T,5300,200,1
23,65281,T,3800,200,1
23,65283,T,7350,3900,1
23,65284,T,6700,3900,1
23,65285,CT,11900,200,1
23,65286,CT,2050,200,1
23,65287,CT,7800,200,1
23,65289,CT,2350,200,1
24,65280,T,2600,200,1
24,65281,T,5500,200,1
24,65283,T,4000,200,1
24,65284,T,8750,200,1
24,65285,CT,13750,200,1
24,65286,CT,3250,200,1
24,65287,CT,7050,6250,1
24,65289,CT,3750,200,1
2,65280,CT,4350,200,2
2,65281,CT,4650,200,2
2,65282,CT,3650,600,2
2,65284,CT,3400,850,2
2,65285,T,2050,200,2
2,65287,T,2700,200,2
2,65288,T,2700,200,2
2,65289,T,1900,200,2
3,65280,CT,5350,3000,2
3,65281,CT,7800,3550,2
3,65282,CT,6100,4650,2
3,65284,CT,4250,3100,2
3,65285,T,3550,200,2
3,65286,T,3450,200,2
3,65287,T,4050,200,2
3,65288,T,3500,200,2
3,65289,T,3200,200,2
