round,player_id,first_equip_tick,match_number
23,65285,139157,16
23,65286,138245,16
23,65288,137805,16
24,65281,151152,16
24,65285,145388,16
24,65286,145695,16
4,65280,13580,17
5,65286,19274,17
6,65285,22367,17
6,65286,22169,17
6,65289,26688,17
7,65286,26959,17
7,65289,27073,17
8,65280,31553,17
8,65286,33071,17
8,65289,32148,17
9,65280,36099,17
9,65283,37315,17
9,65285,39467,17
9,65286,35640,17
9,65289,36576,17
10,65283,40281,17
10,65285,39511,17
10,65286,39507,17
10,65288,40352,17
10,65289,40516,17
11,65280,46999,17
11,65283,47342,17
11,65285,46210,17
11,65286,46226,17
11,65288,46198,17
12,65285,53103,17
12,65286,53159,17
12,65288,53287,17
9,65284,61519,18
9,65285,53917,18
10,65284,61884,18
11,65284,68972,18
12,65280,74243,18
12,65284,74298,18
12,65285,79092,18
12,65286,74557,18
12,65287,75993,18
17,65280,111240,18
17,65283,109976,18
17,65286,110606,18
17,65287,110617,18
18,65287,121843,18
19,65281,127899,18
19,65283,129252,18
19,65287,131654,18
19,65288,127145,18
20,65287,134327,18
21,65285,141065,18
21,65287,139323,18
22,65281,144622,18
22,65283,151784,18
23,65281,152674,18
23,65283,152090,18
23,65284,152432,18
24,65281,159271,18
5,65287,20266,19
6,65288,25436,19
7,65288,29422,19
8,65288,38796,19
9,65285,42880,19
9,65287,46881,19
10,65287,50202,19
10,65289,49991,19
11,65287,54740,19
11,65289,55224,19
12,65282,66561,19
12,65285,63181,19
12,65286,63135,19
12,65287,63433,19
12,65288,64798,19
15,65282,81259,19
15,65287,78377,19
16,65282,83672,19
16,65284,89018,19
17,65282,89598,19
17,65284,90275,19
17,65285,95631,19
18,65287,96350,19
18,65289,96185,19
5,65284,24634,20
8,65283,39194,20
9,65288,44761,20
10,65282,49859,20
10,65284,49681,20
10,65286,53291,20
10,65287,52004,20
11,65286,57436,20
11,65287,56248,20
12,65286,63701,20
19,65285,102407,20
20,65280,109285,20
20,65285,109185,20
20,65286,111930,20
21,65280,114209,20
21,65281,118707,20
21,65283,114060,20
21,65284,114139,20
21,65286,115723,20
22,65280,120040,20
22,65281,119736,20
22,65284,120024,20
23,65280,124631,20
23,65284,124744,20
24,65280,130802,20
24,65284,130665,20
24,65286,132456,20
4,65280,17235,21
5,65280,22945,21
6,65280,27392,21
7,65280,35411,21
7,65284,37998,21
7,65287,35525,21
8,65280,43695,21
8,65283,43329,21
8,65284,44274,21
9,65280,48351,21
9,65284,47571,21
9,65286,47646,21
10,65280,53350,21
10,65283,53080,21
10,65284,54526,21
11,65280,57325,21
11,65282,64550,21
11,65284,58442,21
11,65286,66026,21
12,65280,66667,21
12,65281,67749,21
12,65282,66218,21
12,65283,67133,21
12,65284,66747,21
12,65286,66220,21
12,65287,67862,21
4,65284,18694,22
5,65280,26931,22
5,65282,29647,22
5,65284,26065,22
5,65286,27937,22
6,65280,30810,22
6,65282,29811,22
6,65284,31141,22
6,65285,36501,22
7,65281,37075,22
7,65282,36889,22
7,65285,37060,22
7,65286,36777,22
8,65285,43286,22
9,65280,49810,22
9,65284,51330,22
9,65285,47639,22
10,65280,52797,22
10,65284,52417,22
10,65285,51897,22
10,65287,54899,22
11,65280,56485,22
11,65284,60810,22
11,65285,55874,22
11,65287,56028,22
12,65284,62180,22
20,65280,107712,22
20,65282,103914,22
21,65280,109895,22
21,65281,113932,22
21,65282,114076,22
21,65285,108641,22
22,65280,114363,22
22,65282,114148,22
22,65283,114424,22
23,65280,118305,22
5,65289,23543,24
6,65281,29306,24
6,65289,30251,24
7,65281,40283,24
7,65287,37034,24
7,65289,36080,24
8,65281,43807,24
9,65281,50752,24
9,65282,51253,24
9,65288,50961,24
10,65281,59665,24
10,65282,60641,24
10,65288,59987,24
10,65289,63917,24
11,65281,66947,24
11,65288,66254,24
11,65289,67531,24
12,65282,76809,24
12,65289,72690,24
16,65281,93916,24
16,65282,94257,24
17,65281,100560,24
17,65283,103532,24
17,65288,107362,24
18,65282,107505,24
18,65288,108160,24
19,65285,116435,24
19,65288,112208,24
20,65281,119071,24
20,65288,118977,24
21,65281,123316,24
21,65284,123023,24
22,65281,131104,24
22,65287,137090,24
23,65281,137582,24
23,65282,142936,24
23,65286,138018,24
24,65281,143115,24
24,65282,142953,24
24,65289,143083,24
5,65283,25826,25
5,65288,28450,25
6,65283,35342,25
6,65286,31174,25
7,65283,37210,25
8,65281,45157,25
8,65283,41805,25
9,65281,46208,25
9,65283,45761,25
10,65283,51010,25
10,65284,53249,25
10,65288,51127,25
11,65282,56558,25
11,65286,55739,25
11,65288,56810,25
11,65289,57719,25
12,65282,61834,25
12,65285,65464,25
12,65288,60930,25
21,65282,110187,25
3,65281,18138,26
3,65286,22390,26
4,65286,23531,26
5,65286,28912,26
6,65280,36845,26
6,65286,35890,26
6,65288,36786,26
9,65286,53316,26
10,65281,65694,26
10,65282,61254,26
10,65283,63870,26
10,65286,61050,26
11,65281,68160,26
11,65283,69233,26
12,65280,77123,26
12,65281,76083,26
12,65282,77051,26
12,65283,76283,26
12,65284,80811,26
20,65280,128512,26
24,65281,152051,26
24,65289,154120,26
5,65280,29506,27
7,65288,43813,27
9,65280,55474,27
18,65282,105048,27
18,65283,101317,27
18,65285,101003,27
19,65282,109026,27
19,65285,108928,27
19,65287,112794,27
20,65285,112939,27
20,65287,113955,27
4,65289,13397,28
5,65281,17198,28
5,65282,19522,28
5,65286,19989,28
5,65289,17024,28
6,65285,22880,28
7,65281,25434,28
7,65283,30193,28
8,65283,31623,28
9,65283,37051,28
10,65283,43869,28
11,65285,51592,28
11,65286,50994,28
12,65282,53839,28
16,65284,74126,28
17,65283,78626,28
17,65284,81405,28
17,65288,83832,28
18,65283,84162,28
18,65287,88184,28
18,65288,85028,28
18,65289,84102,28
19,65280,92767,28
19,65283,91589,28
19,65288,89861,28
19,65289,88757,28
20,65280,94709,28
20,65283,94676,28
20,65286,98398,28
20,65287,97440,28
21,65282,100835,28
21,65283,98838,28
21,65284,101188,28
21,65285,98874,28
21,65286,99864,28
21,65289,99049,28
22,65281,103430,28
22,65282,103890,28
23,65281,108658,28
23,65282,109297,28
7,65285,40165,29
8,65281,49206,29
8,65285,45133,29
9,65281,50432,29
10,65281,57053,29
