round,tick,event_type,player_id,match_number,site
24,151685,bomb_exploded,65284,16,A
2,8985,bomb_planted,65286,17,A
3,12673,bomb_planted,65288,17,A
4,18892,bomb_planted,65287,17,A
9,38559,bomb_planted,65285,17,A
10,44089,bomb_planted,65285,17,A
5,28658,bomb_planted,65285,18,A
6,35714,bomb_planted,65285,18,A
7,45793,bomb_planted,65285,18,A
9,59251,bomb_planted,65288,18,B
9,61284,bomb_defused,65281,18,B
12,81759,bomb_planted,65285,18,B
12,84383,bomb_exploded,65285,18,B
13,88511,bomb_planted,65284,18,A
14,93991,bomb_planted,65283,18,B
14,96615,bomb_exploded,65283,18,A
16,107540,bomb_planted,65282,18,A
16,109209,bomb_defused,65286,18,A
18,123829,bomb_planted,65284,18,A
18,126453,bomb_exploded,65284,18,A
19,131148,bomb_planted,65282,18,A
19,133571,bomb_defused,65287,18,A
22,150293,bomb_planted,65283,18,B
23,156140,bomb_planted,65281,18,A
23,158764,bomb_exploded,65281,18,A
24,162036,bomb_planted,65283,18,B
24,164660,bomb_exploded,65283,18,B
2,8028,bomb_planted,65289,19,B
2,10420,bomb_defused,65282,19,B
3,15091,bomb_planted,65287,19,A
4,19105,bomb_planted,65289,19,A
6,28402,bomb_planted,65287,19,B
7,37454,bomb_planted,65288,19,B
10,54595,bomb_planted,65287,19,A
11,61753,bomb_planted,65288,19,A
12,66972,bomb_planted,65285,19,A
2,7423,bomb_planted,65288,20,A
4,21337,bomb_planted,65286,20,A
4,23961,bomb_exploded,65286,20,A
5,27937,bomb_planted,65288,20,A
8,43273,bomb_planted,65289,20,B
8,44043,bomb_defused,65281,20,B
10,53137,bomb_planted,65285,20,A
10,55761,bomb_exploded,65285,20,B
14,77108,bomb_planted,65281,20,B
14,77912,bomb_defused,65286,20,B
16,86593,bomb_planted,65281,20,A
18,101600,bomb_planted,65281,20,A
19,106061,bomb_planted,65283,20,A
19,108685,bomb_exploded,65283,20,A
21,118613,bomb_planted,65281,20,A
22,123664,bomb_planted,65281,20,A
23,128009,bomb_planted,65281,20,A
23,130122,bomb_defused,65286,20,A
24,134484,bomb_planted,65283,20,A
9,51210,bomb_planted,65287,21,B
9,52587,bomb_defused,65281,21,B
14,81020,bomb_planted,65283,21,B
2,9101,bomb_planted,65289,22,B
3,15990,bomb_planted,65289,22,B
3,17892,bomb_defused,65284,22,B
4,23110,bomb_planted,65287,22,B
4,25183,bomb_defused,65281,22,B
6,36205,bomb_planted,65287,22,B
10,54743,bomb_planted,65285,22,B
11,59778,bomb_planted,65289,22,B
11,61397,bomb_defused,65283,22,B
12,66121,bomb_planted,65289,22,B
12,67397,bomb_defused,65280,22,B
18,98776,bomb_planted,65282,22,B
19,102073,bomb_planted,65280,22,A
21,112762,bomb_planted,65281,22,A
2,8163,bomb_planted,65289,24,A
2,10787,bomb_exploded,65289,24,A
3,14354,bomb_planted,65285,24,A
3,16978,bomb_exploded,65285,24,A
4,20846,bomb_planted,65289,24,B
4,22713,bomb_defused,65282,24,B
10,63369,bomb_planted,65287,24,B
11,70387,bomb_planted,65287,24,A
13,80396,bomb_planted,65281,24,B
14,84787,bomb_planted,65284,24,B
15,91797,bomb_planted,65280,24,A
15,93364,bomb_defused,65288,24,A
16,97286,bomb_planted,65284,24,A
16,99910,bomb_exploded,65284,24,A
17,105564,bomb_planted,65283,24,A
17,106950,bomb_defused,65288,24,A
19,115792,bomb_planted,65282,24,B
19,118416,bomb_exploded,65282,24,B
21,127849,bomb_planted,65284,24,B
21,130473,bomb_exploded,65284,24,B
23,141418,bomb_planted,65282,24,A
2,9080,bomb_planted,65287,25,A
4,22602,bomb_planted,65286,25,A
4,25226,bomb_exploded,65286,25,A
5,28668,bomb_planted,65289,25,B
5,30551,bomb_defused,65284,25,B
12,67130,bomb_planted,65288,25,B
16,85940,bomb_planted,65283,25,A
17,93541,bomb_planted,65283,25,B
18,97819,bomb_planted,65284,25,A
19,103335,bomb_planted,65283,25,A
19,105959,bomb_exploded,65283,25,B
3,20409,bomb_planted,65288,26,A
3,23033,bomb_exploded,65288,26,A
4,26726,bomb_planted,65287,26,B
4,28313,bomb_defused,65280,26,B
5,32749,bomb_planted,65287,26,A
5,35373,bomb_exploded,65287,26,A
6,39433,bomb_planted,65287,26,B
9,58922,bomb_planted,65286,26,A
12,78509,bomb_planted,65285,26,B
12,80705,bomb_defused,65280,26,B
15,102946,bomb_planted,65282,26,B
15,104519,bomb_defused,65285,26,B
16,111118,bomb_planted,65282,26,A
18,118522,bomb_planted,65283,26,A
19,126627,bomb_planted,65283,26,B
21,137047,bomb_planted,65281,26,A
2,6463,bomb_planted,65287,27,B
2,8137,bomb_defused,65282,27,B
3,19913,bomb_planted,65286,27,A
3,22537,bomb_exploded,65286,27,A
5,33475,bomb_planted,65287,27,A
9,58768,bomb_planted,65285,27,A
10,65045,bomb_planted,65285,27,A
11,67649,bomb_planted,65286,27,B
11,70273,bomb_exploded,65286,27,B
12,73575,bomb_planted,65287,27,B
13,78989,bomb_planted,65281,27,B
13,79865,bomb_defused,65286,27,B
17,98186,bomb_planted,65282,27,B
18,104891,bomb_planted,65283,27,B
18,107515,bomb_exploded,65283,27,B
2,6695,bomb_planted,65289,28,B
5,20345,bomb_planted,65288,28,B
9,41556,bomb_planted,65287,28,B
9,43182,bomb_defused,65281,28,B
10,47977,bomb_planted,65288,28,B
13,63949,bomb_planted,65281,28,A
15,71636,bomb_planted,65280,28,A
15,73394,bomb_defused,65285,28,A
19,91268,bomb_planted,65282,28,B
19,93892,bomb_exploded,65282,28,A
22,108215,bomb_planted,65283,28,A
23,111928,bomb_planted,65283,28,A
2,9744,bomb_planted,65289,29,B
2,11824,bomb_defused,65280,29,B
3,18504,bomb_planted,65289,29,B
3,20425,bomb_defused,65280,29,B
4,24012,bomb_planted,65288,29,B
5,29785,bomb_planted,65287,29,A
6,36809,bomb_planted,65288,29,B
6,39433,bomb_exploded,65288,29,B
7,43100,bomb_planted,65287,29,A
9,53674,bomb_planted,65289,29,B
9,55146,bomb_defused,65284,29,B
13,74024,bomb_planted,65280,29,A
14,77708,bomb_planted,65284,29,A
16,91644,bomb_planted,65282,29,A
19,104807,bomb_planted,65284,29,B
19,105591,bomb_defused,65285,29,B
2,8703,bomb_planted,65289,30,A
2,10988,bomb_defused,65282,30,A
3,15838,bomb_planted,65286,30,A
3,17628,bomb_defused,65282,30,A
4,21962,bomb_planted,65285,30,A
5,27551,bomb_planted,65285,30,B
6,33275,bomb_planted,65288,30,A
6,35899,bomb_exploded,65288,30,A
8,47609,bomb_planted,65286,30,A
8,50233,bomb_exploded,65286,30,B
9,54209,bomb_planted,65285,30,A
10,58659,bomb_planted,65285,30,A
11,63692,bomb_planted,65287,30,A
11,66316,bomb_exploded,65287,30,A
12,70785,bomb_planted,65289,30,A
3,19280,bomb_planted,65286,31,A
5,30989,bomb_planted,65289,31,B
5,33613,bomb_exploded,65289,31,B
7,48634,bomb_planted,65287,31,B
7,50756,bomb_defused,65284,31,B
10,67285,bomb_planted,65288,31,A
10,68114,bomb_defused,65282,31,A
13,87671,bomb_planted,65283,31,A
14,91902,bomb_planted,65283,31,B
15,97199,bomb_planted,65283,31,A
15,99195,bomb_defused,65285,31,A
16,105956,bomb_planted,65281,31,B
17,111029,bomb_planted,65282,31,A
2,9474,bomb_planted,65288,32,A
6,34664,bomb_planted,65285,32,B
6,37059,bomb_defused,65282,32,B
7,41166,bomb_planted,65287,32,B
8,46224,bomb_planted,65285,32,A
11,64778,bomb_planted,65286,32,A
11,67402,bomb_exploded,65286,32,A
12,72981,bomb_planted,65285,32,A
12,74746,bomb_defused,65281,32,A
13,80033,bomb_planted,65280,32,B
13,82189,bomb_defused,65287,32,B
14,86076,bomb_planted,65281,32,B
14,88069,bomb_defused,65285,32,B
17,102186,bomb_planted,65281,32,B
17,103964,bomb_defused,65286,32,B
18,107911,bomb_planted,65280,32,A
18,109724,bomb_defused,65287,32,A
20,120798,bomb_planted,65281,32,B
3,15743,bomb_planted,65288,33,B
8,53052,bomb_planted,65288,33,A
11,71611,bomb_planted,65287,33,A
12,80777,bomb_planted,65285,33,B
12,82822,bomb_defused,65281,33,B
13,86384,bomb_planted,65283,33,B
13,89008,bomb_exploded,65283,33,B
14,92248,bomb_planted,65280,33,A
15,97717,bomb_planted,65282,33,A
18,115875,bomb_planted,65281,33,A
18,118499,bomb_exploded,65281,33,A
3,14040,bomb_planted,65287,34,A
5,24505,bomb_planted,65288,34,B
5,27129,bomb_exploded,65288,34,B
6,32190,bomb_planted,65287,34,B
6,33764,bomb_defused,65281,34,B
7,37477,bomb_planted,65287,34,B
11,54819,bomb_planted,65287,34,A
11,56208,bomb_defused,65282,34,A
12,60986,bomb_planted,65287,34,A
14,70539,bomb_planted,65280,34,A
15,76047,bomb_planted,65281,34,A
15,78671,bomb_exploded,65281,34,A
16,83655,bomb_planted,65280,34,A
16,85486,bomb_defused,65286,34,A
20,110180,bomb_planted,65280,34,A
20,112804,bomb_exploded,65280,34,A
21,117493,bomb_planted,65284,34,A
23,129927,bomb_planted,65284,34,A
24,135909,bomb_planted,65284,34,A
2,9178,bomb_planted,65287,35,A
3,13596,bomb_planted,65288,35,A
3,15999,bomb_defused,65283,35,A
4,20817,bomb_planted,65288,35,A
9,49268,bomb_planted,65288,35,A
10,57860,bomb_planted,65285,35,B
10,59219,bomb_defused,65282,35,B
12,70004,bomb_planted,65288,35,A
13,75632,bomb_planted,65280,35,A
13,78256,bomb_exploded,65280,35,A
15,100511,bomb_planted,65281,35,B
17,108888,bomb_planted,65284,35,B
18,114905,bomb_planted,65283,35,A
19,122222,bomb_planted,65284,35,A
20,128255,bomb_planted,65282,35,A
2,7870,bomb_planted,65288,36,B
6,24231,bomb_planted,65287,36,A
6,26336,bomb_defused,65282,36,A
14,57672,bomb_planted,65281,36,B
15,63626,bomb_planted,65283,36,A
15,66250,bomb_exploded,65283,36,A
2,12007,bomb_planted,65286,37,B
5,31753,bomb_planted,65288,37,B
5,34377,bomb_exploded,65288,37,B
8,48947,bomb_planted,65289,37,B
9,53405,bomb_planted,65289,37,A
10,58069,bomb_planted,65286,37,A
11,63380,bomb_planted,65288,37,B
11,66004,bomb_exploded,65288,37,B
