round,player_id,team_label,money,current_equipment_cost,match_number
9,65283,CT,2500,200,1
9,65284,CT,1950,200,1
9,65285,T,6200,3900,1
9,65286,T,7500,200,1
9,65287,T,7250,200,1
9,65288,T,5600,200,1
9,65289,T,4450,4900,1
10,65280,CT,6200,200,1
10,65281,CT,5350,200,1
10,65282,CT,2550,200,1
10,65283,CT,5200,200,1
10,65284,CT,3750,200,1
10,65285,T,9300,4600,1
10,65286,T,7950,200,1
10,65287,T,7800,2900,1
10,65288,T,6800,2250,1
10,65289,T,7350,5350,1
11,65280,CT,8000,200,1
11,65281,CT,4800,200,1
11,65282,CT,3500,200,1
11,65283,CT,3050,200,1
11,65284,CT,3200,200,1
11,65285,T,12150,200,1
11,65286,T,8650,200,1
11,65287,T,10650,200,1
11,65288,T,13000,200,1
11,65289,T,10850,200,1
12,65280,CT,6850,4900,1
12,65281,CT,6000,200,1
12,65282,CT,3700,3850,1
12,65283,CT,3650,3100,1
12,65284,CT,3550,6850,1
12,65285,T,9450,200,1
12,65286,T,7250,200,1
12,65287,T,9150,200,1
12,65288,T,11550,200,1
12,65289,T,6250,200,1
13,65280,T,800,200,1
13,65281,T,800,200,1
13,65282,T,800,200,1
13,65283,T,800,200,1
13,65284,T,800,200,1
13,65285,CT,800,200,1
13,65286,CT,800,200,1
13,65287,CT,800,200,1
13,65288,CT,800,200,1
13,65289,CT,800,200,1
14,65280,T,2050,200,1
14,65281,T,2700,200,1
14,65282,T,2200,200,1
14,65283,T,1900,200,1
14,65284,T,2600,200,1
14,65285,CT,3400,850,1
14,65286,CT,3400,200,1
14,65287,CT,4350,200,1
14,65288,CT,3700,850,1
14,65289,CT,4950,200,1
15,65280,T,4600,700,1
15,65281,T,5450,200,1
15,65282,T,4450,2200,1
15,65283,T,3700,2000,1
15,65284,T,4550,3900,1
15,65285,CT,2900,200,1
15,65286,CT,2700,200,1
15,65287,CT,3050,200,1
15,65288,CT,3400,200,1
15,65289,CT,2250,200,1
16,65280,T,3950,4900,1
16,65281,T,6950,3450,1
16,65282,T,3700,200,1
16,65283,T,3250,4200,1
16,65284,T,5500,4600,1
16,65285,CT,4800,200,1
16,65286,CT,2500,200,1
16,65287,CT,2250,200,1
16,65288,CT,2900,200,1
16,65289,CT,1900,200,1
17,65280,T,5250,200,1
17,65281,T,7400,200,1
17,65282,T,1750,200,1
17,65283,T,4000,200,1
17,65284,T,6100,200,1
17,65285,CT,6450,200,1
17,65286,CT,6350,200,1
17,65287,CT,4100,2300,1
17,65288,CT,4750,200,1
17,65289,CT,3250,200,1
18,65280,T,2850,200,1
18,65281,T,4500,200,1
18,65282,T,50,1900,1
18,65283,T,1900,200,1
18,65284,T,3300,200,1
18,65285,CT,5400,5700,1
18,65286,CT,4750,200,1
18,65287,CT,6350,3600,1
18,65288,CT,4700,200,1
18,65289,CT,3550,4550,1
19,65280,T,4550,200,1
19,65281,T,4450,200,1
19,65282,T,2450,200,1
19,65283,T,2450,200,1
19,65284,T,2700,200,1
19,65285,CT,8300,5700,1
19,65286,CT,3450,4450,1
19,65287,CT,9600,200,1
19,65288,CT,5850,2900,1
19,65289,CT,7400,4150,1
20,65280,T,4200,4400,1
20,65281,T,3250,200,1
20,65282,T,3600,3750,1
20,65283,T,3850,200,1
20,65284,T,3750,200,1
20,65285,CT,9700,200,1
20,65286,CT,4050,200,1
20,65287,CT,8200,200,1
20,65288,CT,7250,200,1
20,65289,CT,8600,200,1
2,65280,CT,3950,200,2
2,65281,CT,3650,200,2
2,65282,CT,4900,200,2
2,65283,CT,4550,850,2
2,65284,CT,3650,200,2
2,65285,T,2700,200,2
2,65286,T,3150,200,2
2,65287,T,3150,200,2
2,65288,T,3100,200,2
2,65289,T,3150,200,2
3,65280,CT,1700,200,2
3,65281,CT,1850,200,2
3,65282,CT,1750,200,2
3,65283,CT,2550,200,2
3,65284,CT,2850,200,2
3,65285,T,6100,6150,2
3,65286,T,3550,200,2
3,65287,T,4250,200,2
3,65288,T,4150,200,2
3,65289,T,3850,200,2
4,65280,CT,3600,200,2
4,65281,CT,4050,200,2
4,65282,CT,3350,200,2
4,65283,CT,4450,200,2
4,65284,CT,4750,200,2
4,65285,T,9550,6350,2
4,65286,T,3550,200,2
4,65287,T,3800,3900,2
4,65288,T,5600,4900,2
4,65289,T,3400,3900,2
5,65280,CT,4000,200,2
5,65281,CT,3800,200,2
5,65282,CT,4900,5950,2
5,65283,CT,5200,200,2
5,65284,CT,6750,200,2
5,65285,T,11850,200,2
5,65286,T,2850,200,2
5,65287,T,4800,200,2
5,65288,T,7300,200,2
5,65289,T,5900,200,2
6,65280,CT,3300,200,2
6,65281,CT,3300,200,2
6,65282,CT,6550,6350,2
6,65283,CT,5600,200,2
6,65284,CT,7600,200,2
6,65285,T,14050,200,2
6,65286,T,3700,200,2
6,65287,T,3000,200,2
6,65288,T,2550,200,2
6,65289,T,3200,200,2
7,65280,CT,4600,200,2
7,65281,CT,3550,6600,2
7,65282,CT,8400,200,2
7,65283,CT,5450,4300,2
7,65284,CT,5350,5100,2
7,65285,T,9400,200,2
7,65286,T,2400,200,2
7,65287,T,4000,200,2
7,65288,T,2550,200,2
7,65289,T,2400,200,2
8,65280,CT,3600,200,2
8,65281,CT,1800,200,2
8,65282,CT,4500,200,2
8,65283,CT,5250,200,2
8,65284,CT,7050,200,2
8,65285,T,5000,7650,2
8,65286,T,3950,200,2
8,65287,T,3850,200,2
8,65288,T,3700,4800,2
8,65289,T,4950,200,2
9,65280,CT,3300,200,2
9,65281,CT,3550,4200,2
9,65282,CT,3550,200,2
9,65283,CT,5350,4500,2
9,65284,CT,6650,2000,2
9,65285,T,6800,200,2
9,65286,T,2150,200,2
9,65287,T,2050,200,2
